Time,Tweets,All_hashtags,Place
2020-06-24 11:38:58,"b'Future Of 247 Million Kids In #India Threatened By #COVID19, Warns @UNICEF  Read Here: https://t.co/3zz8v6a1wV'","['India', 'COVID19']",
2020-06-24 11:06:55,b'#COVID19  lockdown in India has impacted education of over 247 million school children:@UNICEFIndia Report. Read more: https://t.co/pgHfwJDL8s @anuragbatrayo  @tanvieahuja @priyasaraf999',['COVID19'],
2020-06-24 10:49:13,"b'The COVID-19 #pandemic is unraveling decades of #health, #education &amp; other advances for #children across #SouthAsia, &amp; govts must take urgent action to prevent millions of families from slipping back into #poverty, @UNICEF said in new report released on Wednesday @abhi_kaushik1 https://t.co/ZoxiDSAJxz'","['pandemic', 'health', 'education', 'children', 'SouthAsia', 'poverty']",
2020-06-24 10:30:00,b'COVID-19 lockdown in India has impacted education of over 247 million school children: UNICEF report https://t.co/vgZoiHYC8j   #VivaEducation #COVID19  #Lockdown #SchoolEducation',"['VivaEducation', 'COVID19', 'Lockdown', 'SchoolEducation']",
2020-06-24 09:49:28,b'A report prepared by #UNICEF has revealed that #COVID-19 pandemic in #India and #lockdown has impacted #247million children',"['UNICEF', 'COVID', 'India', 'lockdown', '247million']",
2020-06-24 08:56:08,b'COVID-19 Lockdown In India Has Impacted Education Of Over 247 Million School Children UNICEF Report https://t.co/p6rv8XBRF6 via @ndtv',[],
2020-06-24 08:23:54,"b'The @UNICEF report also says that an estimated 240 million children already live in \xe2\x80\x9cmulti-dimensional\xe2\x80\x9d poverty including factors such as poor health, lack of education, poor sanitation and poor quality of work in these countries. #COVID__19  @htTweets  https://t.co/qQiu1j6jNz'",['COVID__19'],
2020-06-24 08:19:13,b'COVID-19 Lockdown In India Has Impacted Education Of Over 247 Million School Children: UNICEF Report https://t.co/gVkiD4ryJx',[],
2020-06-24 08:12:19,"b'Coronavirus | Covid-19 might push 120 mn children into poverty in South Asia, including India: UNICEF \xe2\x80\x93\xc2\xa0health https://t.co/WXegwbiBWK'",[],
2020-06-24 07:56:07,"b'Coronavirus | Covid-19 might push 120 mn children into poverty in South Asia, including India: UNICEF https://t.co/08bGC5GFFv'",[],
2020-06-24 07:10:26,b'The @UNICEF report revealed that #COVID__19 pandemic in India and #lockdown has impacted 28 million children in addition to the 247 million who were undergoing pre-school education in #Anganwadi centres.  @htTweets  https://t.co/grBLqu1iCg',"['COVID__19', 'lockdown', 'Anganwadi']",
2020-06-24 06:04:29,"b'#COVID19 has the potential to disrupt services critical to children\xe2\x80\x99s welfare and well-being in #SouthAsia, including India, says #UNICEF   #CoronavirusIndia #coronavirus  https://t.co/cbt1norSna'","['COVID19', 'SouthAsia', 'UNICEF', 'CoronavirusIndia', 'coronavirus']",
2020-06-24 05:43:59,b'https://t.co/MHMszJrYh9 Lockdown has hurt education of 247 mn school kids in India: UNICEF report #lockdown #educational #schools #lockdown2020 #Covid_19 #UNICEF',"['lockdown', 'educational', 'schools', 'lockdown2020', 'Covid_19', 'UNICEF']","Place(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, id='7929cea6bd5b32bd', url='https://api.twitter.com/1.1/geo/id/7929cea6bd5b32bd.json', place_type='city', name='Mumbai', full_name='Mumbai, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, type='Polygon', coordinates=[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]), attributes={})"
2020-06-24 05:37:19,b'COVID-19 lockdown in India has impacted education of over 247 million school children : UNICEF report (ANI) https://t.co/4YFl08PYWk',[],
2020-06-24 05:27:23,b'COVID-19 lockdown in India has impacted education of over 247 million school children: UNICEF report  Read @ANI Story | https://t.co/TW9eJ9kh5a https://t.co/ApeTSrjk1G',[],
2020-06-24 04:58:16,"b'As per a UNICEF report, an additional 120 million children in South Asia , including India, can slip into poverty within the next six months due to #COVID19 pendamic.  #IndiaFightsCoronavirus   https://t.co/rlK6VPt7Ze'","['COVID19', 'IndiaFightsCoronavirus']",
2020-06-24 04:51:28,"b'An estimated 120 million youngsters dwelling in South Asian nations, together with India, might slip into poverty https://t.co/19iZl8fhjy'",[],
2020-06-24 04:47:44,"b'Religious &amp; spiritual leaders discussed how to face the challenges of stigma/discrimination during COVID-19.   Webinar organised by Sphere India in partnership with UNICEF, WHO, Spandan, USAID and World Vision India  All Klear! \xf0\x9f\x91\x8d  https://t.co/k8j7ZJixKs'",[],
2020-06-24 03:17:39,"b'In the worst-case scenario, South Asia could see the additional deaths of as many as 881,000 children aged 5 or under and that of 36,000 mothers over the next twelve months: #UNICEF report #CoronavirusPandemic https://t.co/Rt2XW2HsKP'","['UNICEF', 'CoronavirusPandemic']",
2020-06-24 02:36:58,"b'COVID-19 might push 120 mn children into poverty in #SouthAsia, including #India: @UNICEF | India News,The Indian Express #Coronavirus #Covid19  https://t.co/mvltgnPeDX'","['SouthAsia', 'India', 'Coronavirus', 'Covid19']",
2020-06-23 21:28:28,b'Covid-19 lockdown in India has impacted education of over 247 million school children.   (Source: UNICEF report)',[],
2020-06-23 19:55:07,b'COVID-19 lockdown in India has impacted education of over 247 million school children: UNICEF report  Read @ANI Story | https://t.co/cD66fjgf8E https://t.co/ZwJDvsT1Qp',[],
2020-06-23 15:45:00,"b'An estimated 120 million children living in #SouthAsian countries, including #India, could slip into #poverty within the next six months due to the #COVID19 crisis, according to a new #UNICEF report. https://t.co/ENvRig06dY'","['SouthAsian', 'India', 'poverty', 'COVID19', 'UNICEF']",
2020-06-23 15:32:00,"b'An estimated 120 million children living in South Asian countries, including India, could slip into poverty within the next six months due to Covid-19  #COVID19 #UNICEF #poverty  https://t.co/26vz0PbasA'","['COVID19', 'UNICEF', 'poverty']",
2020-06-23 15:30:00,"b'COVID-19 might push 120 mn children into poverty in South Asia, including India: UNICEF https://t.co/n8nIIQVF4a'",[],
2020-06-23 15:13:12,"b'COVID-19 might push 120 mn children into poverty in South Asia, including India: UNICEF - https://t.co/6IsYCJgdBh'",[],
2020-06-23 15:07:18,b'120 mn children may slip into poverty in South Asia within next 6 months: Unicef https://t.co/9uekUBaee3   #Corona  #COVID__19 #Pandemic',"['Corona', 'COVID__19', 'Pandemic']",
2020-06-23 14:57:36,"b'An Unicef report also flags the negative impact of the virus-related disruption to vaccination, nutrition and other vital health services https://t.co/K4kRErPRsd'",[],
2020-06-23 14:36:13,b'An estimated 120 million children living in South Asian countries could slip into poverty within the next six months due to the COVID-19 crisis.  https://t.co/7TuMvQqc2U',[],
2020-06-23 14:25:31,"b'In worst-case scenario, South Asia, including India, could see additional deaths of as many as 881,000 children aged 5 or under and that of 36,000 mothers over the next twelve months. The bulk of these deaths would occur in India and Pakistan. @PTI_News https://t.co/PZQcsPCRqY'",[],"Place(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, id='2e6064382c71b343', url='https://api.twitter.com/1.1/geo/id/2e6064382c71b343.json', place_type='city', name='Noida', full_name='Noida, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f1e8e8f40f0>, type='Polygon', coordinates=[[[77.302126, 28.443981], [77.695326, 28.443981], [77.695326, 28.647131], [77.302126, 28.647131]]]), attributes={})"
2020-06-23 14:12:30,"b'""More than 15,00,000 children in UP, India\xc2\xa0missed their vaccination doses\xc2\xa0due to the nationwide lockdown to curb spread of COVID-19 881,000 children of age &lt;5 may die in 1 year The bulk of these deaths would occur in India n Pakistan"" #ActNow @narendramodi https://t.co/4tb3hwnHkA https://t.co/m6Tf6dEvyz'",['ActNow'],
2020-06-23 13:49:32,"b'Urgent action needed to safeguard futures of 600 million South Asian children  including India, threatened by COVID-19: UNICEF https://t.co/lyIOTwW2Gu'",[],
2020-06-23 12:56:47,b'UNICEF India along with govt &amp; partners have reached out to people with lifesaving assistance in multiple states. #COVID19 #COVID__19 #Covid_19 #COVID #UNICEF #SouthAsia #JeanGough #foreverychild @UNICEF @UNICEFIndia @DrYasminAHaque  https://t.co/nG2KsFRjLM',"['COVID19', 'COVID__19', 'Covid_19', 'COVID', 'UNICEF', 'SouthAsia', 'JeanGough', 'foreverychild']",
